iter	Passed	Remaining
0	0	909
1	1	941
2	2	950
3	4	1106
4	5	1179
5	7	1204
6	8	1159
7	9	1128
8	9	1096
9	11	1143
10	12	1093
11	13	1091
12	14	1090
13	15	1079
14	18	1185
15	18	1161
16	19	1142
17	20	1128
18	21	1120
19	22	1107
20	23	1094
21	24	1084
22	25	1086
23	26	1075
24	27	1079
25	28	1072
26	30	1089
27	31	1078
28	32	1074
29	32	1064
30	33	1056
31	34	1051
32	35	1045
33	37	1070
34	38	1064
35	39	1051
36	40	1043
37	40	1034
38	41	1029
39	42	1021
40	43	1022
41	44	1014
42	45	1009
43	46	1006
44	47	1001
45	47	994
46	48	991
47	49	988
48	50	986
49	51	980
50	52	981
51	53	977
52	54	970
53	55	967
54	56	964
55	57	967
56	58	968
57	59	966
58	62	989
59	62	986
60	63	982
61	64	980
62	65	977
63	66	973
64	67	972
65	68	967
66	69	963
67	69	958
68	70	955
69	71	954
70	72	953
71	74	953
72	74	949
73	75	944
74	76	941
75	77	938
76	78	936
77	79	934
78	80	932
79	80	931
80	81	930
81	82	927
82	83	925
83	84	923
84	85	920
85	86	916
86	87	913
87	87	910
88	88	909
89	89	907
90	90	904
91	91	904
92	92	902
93	93	899
94	94	897
95	95	895
96	95	891
97	97	894
98	98	893
99	99	892
100	99	889
101	100	888
102	101	886
103	102	883
104	103	881
105	104	878
106	105	877
107	106	876
108	107	875
109	108	874
110	110	888
111	114	909
112	115	909
113	117	910
114	118	910
115	119	912
116	120	910
117	121	907
118	122	907
119	123	908
120	125	909
121	126	910
122	127	909
123	128	906
124	130	911
125	131	913
126	133	919
127	135	925
128	138	933
129	139	933
130	140	932
131	141	932
132	142	931
133	143	928
134	144	926
135	145	924
136	146	922
137	147	920
138	148	917
139	149	916
140	150	914
141	150	912
142	151	909
143	152	907
144	153	904
145	154	902
146	155	900
147	156	898
148	156	895
149	157	893
150	158	890
151	159	888
152	160	885
153	160	883
154	161	880
155	162	879
156	163	877
157	164	875
158	165	873
159	166	872
160	167	872
161	168	870
162	169	868
163	170	866
164	170	864
165	171	862
166	172	860
167	173	860
168	174	858
169	175	857
170	176	855
171	177	853
172	178	852
173	179	850
174	180	848
175	181	847
176	181	845
177	182	843
178	183	841
179	184	839
180	185	837
181	185	835
182	186	833
183	187	832
184	188	830
185	189	828
186	190	826
187	190	824
188	191	822
189	192	820
190	193	819
191	194	817
192	195	816
193	196	814
194	196	812
195	197	811
196	198	809
197	199	807
198	200	805
199	201	804
200	201	802
201	202	800
202	203	799
203	204	798
204	205	796
205	206	794
206	206	792
207	208	792
208	209	791
209	210	791
210	211	791
211	212	790
212	213	788
213	214	786
214	215	785
215	215	783
216	216	781
217	217	780
218	218	779
219	219	779
220	220	778
221	221	777
222	222	776
223	223	774
224	224	773
225	225	772
226	226	770
227	227	770
228	228	769
229	229	767
230	230	766
231	230	764
232	231	763
233	232	761
234	233	759
235	234	758
236	235	757
237	235	755
238	236	753
239	237	752
240	238	751
241	239	750
242	240	748
243	241	747
244	241	745
245	242	743
246	243	742
247	244	741
248	245	739
249	246	738
250	247	737
251	247	735
252	248	734
253	249	733
254	250	731
255	251	731
256	252	729
257	253	728
258	254	727
259	254	725
260	256	725
261	257	724
262	257	722
263	258	721
264	260	722
265	261	720
266	261	719
267	263	718
268	263	717
269	264	715
270	265	714
271	266	713
272	267	711
273	267	709
274	268	708
275	269	707
276	270	705
277	271	704
278	271	702
279	272	701
280	273	700
281	274	699
282	275	697
283	276	696
284	277	695
285	277	693
286	279	693
287	279	691
288	280	690
289	281	688
290	282	687
291	282	685
292	283	684
293	284	683
294	285	682
295	286	681
296	287	680
297	288	679
298	289	677
299	289	676
300	290	675
301	292	675
302	293	674
303	294	673
304	295	672
305	295	671
306	296	670
307	297	669
308	299	668
309	300	668
310	301	669
311	303	668
312	304	668
313	305	667
314	306	666
315	307	664
316	308	664
317	309	663
318	310	661
319	310	660
320	311	659
321	312	658
322	313	657
323	314	655
324	315	655
325	316	654
326	317	653
327	318	652
328	319	651
329	320	650
330	321	649
331	322	648
332	323	647
333	323	645
334	324	645
335	325	643
336	326	642
337	327	640
338	328	640
339	329	639
340	330	638
341	331	637
342	332	636
343	333	635
344	334	634
345	335	633
